image_path,label,dataset,case_id
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1193.jpg,0,TN3K_trainval,1193
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1687.jpg,0,TN3K_trainval,1687
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1562.jpg,1,TN3K_trainval,1562
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1678.jpg,0,TN3K_trainval,1678
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2499.jpg,0,TN3K_trainval,2499
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0027.jpg,0,TN3K_trainval,0027
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0648.jpg,0,TN3K_trainval,0648
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0557.jpg,0,TN3K_trainval,0557
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0524.jpg,0,TN3K_trainval,0524
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0162.jpg,0,TN3K_trainval,0162
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1504.jpg,1,TN3K_trainval,1504
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0848.jpg,1,TN3K_trainval,0848
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2733.jpg,1,TN3K_trainval,2733
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1049.jpg,0,TN3K_trainval,1049
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0044.jpg,0,TN3K_trainval,0044
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2779.jpg,1,TN3K_trainval,2779
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0725.jpg,1,TN3K_trainval,0725
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2124.jpg,1,TN3K_trainval,2124
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0992.jpg,0,TN3K_trainval,0992
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0164.jpg,0,TN3K_trainval,0164
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0514.jpg,0,TN3K_trainval,0514
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0792.jpg,1,TN3K_trainval,0792
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1040.jpg,0,TN3K_trainval,1040
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0020.jpg,0,TN3K_trainval,0020
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0331.jpg,0,TN3K_trainval,0331
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2310.jpg,0,TN3K_trainval,2310
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0094.jpg,0,TN3K_trainval,0094
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2297.jpg,0,TN3K_trainval,2297
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1914.jpg,0,TN3K_trainval,1914
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2179.jpg,1,TN3K_trainval,2179
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1570.jpg,1,TN3K_trainval,1570
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1952.jpg,0,TN3K_trainval,1952
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1313.jpg,0,TN3K_trainval,1313
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2121.jpg,1,TN3K_trainval,2121
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2053.jpg,1,TN3K_trainval,2053
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2875.jpg,1,TN3K_trainval,2875
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0676.jpg,0,TN3K_trainval,0676
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1799.jpg,0,TN3K_trainval,1799
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0537.jpg,0,TN3K_trainval,0537
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2019.jpg,1,TN3K_trainval,2019
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2436.jpg,0,TN3K_trainval,2436
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0505.jpg,0,TN3K_trainval,0505
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1232.jpg,0,TN3K_trainval,1232
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1671.jpg,0,TN3K_trainval,1671
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0632.jpg,0,TN3K_trainval,0632
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1656.jpg,0,TN3K_trainval,1656
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0785.jpg,1,TN3K_trainval,0785
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0983.jpg,0,TN3K_trainval,0983
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0392.jpg,0,TN3K_trainval,0392
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1115.jpg,0,TN3K_trainval,1115
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0289.jpg,0,TN3K_trainval,0289
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1854.jpg,0,TN3K_trainval,1854
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0019.jpg,0,TN3K_trainval,0019
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1521.jpg,1,TN3K_trainval,1521
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0784.jpg,1,TN3K_trainval,0784
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2212.jpg,1,TN3K_trainval,2212
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2290.jpg,0,TN3K_trainval,2290
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0818.jpg,1,TN3K_trainval,0818
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0645.jpg,0,TN3K_trainval,0645
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2610.jpg,0,TN3K_trainval,2610
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1808.jpg,0,TN3K_trainval,1808
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0401.jpg,0,TN3K_trainval,0401
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2813.jpg,1,TN3K_trainval,2813
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1519.jpg,1,TN3K_trainval,1519
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0202.jpg,0,TN3K_trainval,0202
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1413.jpg,1,TN3K_trainval,1413
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2259.jpg,1,TN3K_trainval,2259
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1506.jpg,1,TN3K_trainval,1506
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1530.jpg,1,TN3K_trainval,1530
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2748.jpg,1,TN3K_trainval,2748
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1996.jpg,1,TN3K_trainval,1996
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1467.jpg,1,TN3K_trainval,1467
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2102.jpg,1,TN3K_trainval,2102
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0232.jpg,0,TN3K_trainval,0232
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2054.jpg,1,TN3K_trainval,2054
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0338.jpg,0,TN3K_trainval,0338
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1594.jpg,1,TN3K_trainval,1594
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1447.jpg,1,TN3K_trainval,1447
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2144.jpg,1,TN3K_trainval,2144
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2116.jpg,1,TN3K_trainval,2116
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0374.jpg,0,TN3K_trainval,0374
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0050.jpg,0,TN3K_trainval,0050
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1945.jpg,0,TN3K_trainval,1945
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0520.jpg,0,TN3K_trainval,0520
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2312.jpg,0,TN3K_trainval,2312
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0682.jpg,0,TN3K_trainval,0682
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1658.jpg,0,TN3K_trainval,1658
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2708.jpg,1,TN3K_trainval,2708
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0087.jpg,0,TN3K_trainval,0087
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0231.jpg,0,TN3K_trainval,0231
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0908.jpg,1,TN3K_trainval,0908
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0091.jpg,0,TN3K_trainval,0091
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1050.jpg,0,TN3K_trainval,1050
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0960.jpg,0,TN3K_trainval,0960
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1772.jpg,0,TN3K_trainval,1772
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1213.jpg,0,TN3K_trainval,1213
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0154.jpg,0,TN3K_trainval,0154
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2048.jpg,1,TN3K_trainval,2048
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2363.jpg,0,TN3K_trainval,2363
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0853.jpg,1,TN3K_trainval,0853
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0845.jpg,1,TN3K_trainval,0845
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2716.jpg,1,TN3K_trainval,2716
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0664.jpg,0,TN3K_trainval,0664
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0675.jpg,0,TN3K_trainval,0675
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2543.jpg,0,TN3K_trainval,2543
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2062.jpg,1,TN3K_trainval,2062
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2135.jpg,1,TN3K_trainval,2135
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1689.jpg,0,TN3K_trainval,1689
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1582.jpg,1,TN3K_trainval,1582
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1502.jpg,1,TN3K_trainval,1502
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2045.jpg,1,TN3K_trainval,2045
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2507.jpg,0,TN3K_trainval,2507
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0650.jpg,0,TN3K_trainval,0650
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2036.jpg,1,TN3K_trainval,2036
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1440.jpg,1,TN3K_trainval,1440
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2264.jpg,1,TN3K_trainval,2264
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0962.jpg,0,TN3K_trainval,0962
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1706.jpg,0,TN3K_trainval,1706
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0018.jpg,0,TN3K_trainval,0018
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1163.jpg,0,TN3K_trainval,1163
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0969.jpg,0,TN3K_trainval,0969
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1788.jpg,0,TN3K_trainval,1788
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1809.jpg,0,TN3K_trainval,1809
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2617.jpg,0,TN3K_trainval,2617
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2201.jpg,1,TN3K_trainval,2201
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1055.jpg,0,TN3K_trainval,1055
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1038.jpg,0,TN3K_trainval,1038
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1243.jpg,0,TN3K_trainval,1243
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0743.jpg,1,TN3K_trainval,0743
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1615.jpg,1,TN3K_trainval,1615
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1217.jpg,0,TN3K_trainval,1217
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0927.jpg,1,TN3K_trainval,0927
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2147.jpg,1,TN3K_trainval,2147
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1254.jpg,0,TN3K_trainval,1254
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1756.jpg,0,TN3K_trainval,1756
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0501.jpg,0,TN3K_trainval,0501
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0411.jpg,0,TN3K_trainval,0411
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2555.jpg,0,TN3K_trainval,2555
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0541.jpg,0,TN3K_trainval,0541
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1036.jpg,0,TN3K_trainval,1036
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2562.jpg,0,TN3K_trainval,2562
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0916.jpg,1,TN3K_trainval,0916
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2075.jpg,1,TN3K_trainval,2075
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1108.jpg,0,TN3K_trainval,1108
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0473.jpg,0,TN3K_trainval,0473
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2293.jpg,0,TN3K_trainval,2293
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2668.jpg,0,TN3K_trainval,2668
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2550.jpg,0,TN3K_trainval,2550
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1838.jpg,0,TN3K_trainval,1838
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0339.jpg,0,TN3K_trainval,0339
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2525.jpg,0,TN3K_trainval,2525
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2388.jpg,0,TN3K_trainval,2388
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1464.jpg,1,TN3K_trainval,1464
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2439.jpg,0,TN3K_trainval,2439
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0176.jpg,0,TN3K_trainval,0176
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2047.jpg,1,TN3K_trainval,2047
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2711.jpg,1,TN3K_trainval,2711
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1973.jpg,0,TN3K_trainval,1973
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0580.jpg,0,TN3K_trainval,0580
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2318.jpg,0,TN3K_trainval,2318
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1226.jpg,0,TN3K_trainval,1226
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0665.jpg,0,TN3K_trainval,0665
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2148.jpg,1,TN3K_trainval,2148
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1517.jpg,1,TN3K_trainval,1517
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0188.jpg,0,TN3K_trainval,0188
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0807.jpg,1,TN3K_trainval,0807
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0583.jpg,0,TN3K_trainval,0583
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2240.jpg,1,TN3K_trainval,2240
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0373.jpg,0,TN3K_trainval,0373
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0116.jpg,0,TN3K_trainval,0116
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2724.jpg,1,TN3K_trainval,2724
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2604.jpg,0,TN3K_trainval,2604
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0173.jpg,0,TN3K_trainval,0173
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1139.jpg,0,TN3K_trainval,1139
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0379.jpg,0,TN3K_trainval,0379
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0214.jpg,0,TN3K_trainval,0214
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2314.jpg,0,TN3K_trainval,2314
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2154.jpg,1,TN3K_trainval,2154
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0614.jpg,0,TN3K_trainval,0614
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1625.jpg,0,TN3K_trainval,1625
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0129.jpg,0,TN3K_trainval,0129
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1172.jpg,0,TN3K_trainval,1172
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2601.jpg,0,TN3K_trainval,2601
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1669.jpg,0,TN3K_trainval,1669
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2229.jpg,1,TN3K_trainval,2229
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0543.jpg,0,TN3K_trainval,0543
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1885.jpg,0,TN3K_trainval,1885
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2864.jpg,1,TN3K_trainval,2864
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2320.jpg,0,TN3K_trainval,2320
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0478.jpg,0,TN3K_trainval,0478
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0195.jpg,0,TN3K_trainval,0195
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1711.jpg,0,TN3K_trainval,1711
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2214.jpg,1,TN3K_trainval,2214
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1532.jpg,1,TN3K_trainval,1532
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1749.jpg,0,TN3K_trainval,1749
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1437.jpg,1,TN3K_trainval,1437
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1249.jpg,0,TN3K_trainval,1249
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0239.jpg,0,TN3K_trainval,0239
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1507.jpg,1,TN3K_trainval,1507
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1405.jpg,1,TN3K_trainval,1405
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1764.jpg,0,TN3K_trainval,1764
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0707.jpg,1,TN3K_trainval,0707
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0786.jpg,1,TN3K_trainval,0786
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2641.jpg,0,TN3K_trainval,2641
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1385.jpg,0,TN3K_trainval,1385
